,id_cliente,valor_divida_mil,tempo_inadimplencia_dias,porte_cliente,ramo_atuacao_cliente,score_risco_interno,regiao,score_recuperacao
481,20482,166.25,1111,Médio,Produtor,C,Sudeste,0.8054538
176,20177,25.18,1367,Pequeno,Cooperativa,C,Sudeste,0.80337477
1314,21315,15.44,625,Pequeno,Distribuidor,C,Sudeste,0.80173737
1476,21477,3.36,610,Médio,Produtor,B,Sudeste,0.80163795
1955,21956,21.66,793,Médio,Cooperativa,A,Norte,0.801599
1451,21452,5.97,1493,Médio,Produtor,A,Sul,0.80061775
1077,21078,6.85,239,Pequeno,Produtor,B,Nordeste,0.7998362
638,20639,12.36,687,Grande,Cooperativa,B,Sudeste,0.79973686
909,20910,73.41,1484,Pequeno,Produtor,C,Sudeste,0.7982315
1410,21411,618.78,268,Médio,Produtor,C,Centro-Oeste,0.79820615
1623,21624,12.54,315,Médio,Distribuidor,B,Sul,0.7973227
983,20984,281.64,1069,Pequeno,Distribuidor,C,Sudeste,0.7966624
318,20319,36.32,1087,Pequeno,Indústria,A,Sudeste,0.79659766
1732,21733,91.07,138,Pequeno,Produtor,D,Sul,0.79644233
1395,21396,255.13,829,Pequeno,Distribuidor,B,Centro-Oeste,0.79565734
241,20242,4.48,540,Pequeno,Distribuidor,B,Sul,0.7944277
1693,21694,13.63,548,Médio,Cooperativa,B,Sudeste,0.7927375
1965,21966,173.75,438,Pequeno,Produtor,C,Nordeste,0.7926999
462,20463,30.3,548,Pequeno,Distribuidor,A,Sudeste,0.79236126
840,20841,57.16,820,Médio,Produtor,B,Nordeste,0.79165554
1225,21226,14.93,550,Pequeno,Distribuidor,C,Nordeste,0.79132736
1773,21774,272.96,1214,Médio,Produtor,B,Norte,0.79043543
995,20996,14.99,560,Médio,Cooperativa,C,Sudeste,0.7902731
11,20012,1.83,920,Médio,Indústria,C,Centro-Oeste,0.790257
553,20554,2.49,468,Pequeno,Produtor,C,Sudeste,0.7900306
1315,21316,26.78,702,Médio,Indústria,C,Sudeste,0.78986126
429,20430,3.06,1369,Pequeno,Produtor,A,Sudeste,0.78974754
1628,21629,25.23,182,Pequeno,Produtor,A,Centro-Oeste,0.78948927
1073,21074,50.81,177,Pequeno,Produtor,B,Nordeste,0.7882295
122,20123,51.93,1281,Pequeno,Distribuidor,C,Centro-Oeste,0.78747314
967,20968,10.45,680,Grande,Produtor,B,Centro-Oeste,0.7869041
600,20601,7.94,1274,Médio,Cooperativa,B,Norte,0.782366
320,20321,19.24,709,Pequeno,Produtor,C,Centro-Oeste,0.7817482
71,20072,133.81,100,Pequeno,Produtor,C,Sudeste,0.7808113
460,20461,102.4,153,Pequeno,Indústria,C,Sul,0.7806691
1057,21058,26.94,753,Médio,Distribuidor,C,Sudeste,0.77897143
1,20002,78.06,820,Pequeno,Produtor,B,Sudeste,0.7776097
538,20539,20.03,806,Grande,Produtor,D,Sudeste,0.77735937
1099,21100,26.44,455,Pequeno,Indústria,C,Centro-Oeste,0.77646565
1883,21884,23.37,443,Grande,Produtor,D,Sudeste,0.7748481
248,20249,36.84,1111,Grande,Produtor,D,Centro-Oeste,0.77361476
796,20797,42.71,861,Médio,Produtor,B,Sudeste,0.7734798
229,20230,100.21,121,Pequeno,Indústria,F,Centro-Oeste,0.7734646
627,20628,39.04,1107,Médio,Produtor,C,Sudeste,0.77330863
663,20664,5.83,1344,Médio,Produtor,C,Centro-Oeste,0.7729999
1042,21043,27.28,1043,Médio,Distribuidor,C,Sul,0.77215075
1155,21156,24.32,451,Pequeno,Produtor,D,Sudeste,0.77169305
691,20692,63.9,1399,Médio,Produtor,A,Sul,0.77107555
1497,21498,43.07,703,Pequeno,Produtor,D,Sudeste,0.77066714
180,20181,4.98,1447,Pequeno,Indústria,C,Sudeste,0.7703296
1666,21667,36.18,802,Grande,Produtor,B,Sul,0.76980776
1722,21723,355.56,924,Pequeno,Produtor,C,Centro-Oeste,0.7695269
680,20681,81.95,111,Pequeno,Produtor,C,Nordeste,0.7692497
755,20756,9.03,517,Médio,Produtor,B,Sudeste,0.7688339
1108,21109,9.72,677,Médio,Cooperativa,C,Centro-Oeste,0.7685799
1966,21967,94.38,1276,Pequeno,Produtor,C,Sul,0.76838124
123,20124,19.35,1236,Pequeno,Produtor,C,Sul,0.76738024
521,20522,104.3,458,Pequeno,Indústria,A,Sul,0.76730233
1936,21937,43.16,789,Pequeno,Produtor,C,Sudeste,0.7669553
311,20312,13.49,112,Pequeno,Produtor,B,Sul,0.7663993
1078,21079,13.05,1164,Médio,Indústria,C,Nordeste,0.76526886
322,20323,84.03,689,Pequeno,Produtor,A,Centro-Oeste,0.7649109
478,20479,277.72,255,Médio,Cooperativa,C,Centro-Oeste,0.7641952
766,20767,6.19,262,Pequeno,Cooperativa,B,Centro-Oeste,0.7640235
1358,21359,154.21,246,Pequeno,Produtor,B,Centro-Oeste,0.76391286
1506,21507,67.74,850,Pequeno,Produtor,C,Sudeste,0.76365334
79,20080,42.38,1186,Pequeno,Distribuidor,A,Centro-Oeste,0.7633276
439,20440,251.15,1396,Pequeno,Distribuidor,B,Norte,0.7628176
1826,21827,299.69,618,Pequeno,Produtor,C,Sudeste,0.762676
850,20851,7.0,182,Médio,Indústria,C,Centro-Oeste,0.7619478
1651,21652,4.98,1117,Médio,Cooperativa,C,Centro-Oeste,0.76123023
1306,21307,5.46,206,Médio,Indústria,C,Sudeste,0.7612099
982,20983,14.05,692,Pequeno,Produtor,B,Sudeste,0.76012367
1819,21820,64.09,959,Pequeno,Produtor,A,Sudeste,0.7599232
1881,21882,55.84,1481,Pequeno,Distribuidor,C,Sudeste,0.75980383
64,20065,25.89,1011,Grande,Produtor,D,Centro-Oeste,0.7594025
679,20680,101.15,581,Pequeno,Cooperativa,D,Centro-Oeste,0.7588521
1536,21537,1.27,1162,Pequeno,Cooperativa,F,Sudeste,0.75855404
458,20459,87.55,573,Médio,Distribuidor,C,Sul,0.7579214
37,20038,99.09,1112,Pequeno,Produtor,C,Nordeste,0.7577605
708,20709,64.16,611,Médio,Distribuidor,B,Sudeste,0.7570849
1354,21355,28.86,475,Médio,Cooperativa,C,Centro-Oeste,0.75670844
267,20268,22.99,758,Médio,Distribuidor,C,Centro-Oeste,0.7564931
1587,21588,13.51,812,Pequeno,Produtor,B,Sudeste,0.75623745
1812,21813,67.49,607,Pequeno,Produtor,C,Sul,0.75454193
878,20879,81.57,178,Pequeno,Cooperativa,C,Centro-Oeste,0.754304
333,20334,18.98,645,Pequeno,Distribuidor,C,Sul,0.7542657
1813,21814,161.78,594,Grande,Distribuidor,B,Centro-Oeste,0.7539382
1206,21207,1.03,555,Pequeno,Produtor,C,Sudeste,0.75393546
1092,21093,69.35,783,Médio,Cooperativa,B,Sul,0.7537187
402,20403,10.96,248,Pequeno,Distribuidor,C,Centro-Oeste,0.7536123
1181,21182,5.36,1309,Médio,Indústria,B,Norte,0.7530791
424,20425,93.13,1272,Pequeno,Cooperativa,C,Norte,0.7526343
487,20488,527.26,267,Pequeno,Produtor,F,Norte,0.75228804
1980,21981,8.78,879,Grande,Indústria,C,Nordeste,0.75182575
1158,21159,32.42,767,Médio,Cooperativa,A,Sul,0.75180656
52,20053,1.18,1442,Grande,Produtor,D,Sul,0.7512351
1640,21641,3.15,95,Pequeno,Produtor,C,Sudeste,0.7510787
1118,21119,100.76,252,Pequeno,Cooperativa,C,Centro-Oeste,0.7500247
1193,21194,25.17,1169,Pequeno,Produtor,C,Centro-Oeste,0.7499792
1625,21626,203.71,149,Pequeno,Distribuidor,C,Sudeste,0.7498181
613,20614,25.15,1321,Pequeno,Produtor,C,Sudeste,0.74947727
399,20400,108.57,624,Grande,Distribuidor,D,Sul,0.7487151
419,20420,22.08,372,Médio,Distribuidor,B,Nordeste,0.74836653
1609,21610,43.13,230,Pequeno,Produtor,B,Centro-Oeste,0.7480035
1075,21076,4.47,254,Pequeno,Produtor,C,Sudeste,0.74764633
50,20051,1.36,1316,Pequeno,Distribuidor,C,Sul,0.7473125
1392,21393,6.05,152,Pequeno,Produtor,B,Sul,0.7466172
1177,21178,86.15,265,Médio,Distribuidor,C,Centro-Oeste,0.74636006
1441,21442,99.06,465,Pequeno,Cooperativa,D,Sudeste,0.7462556
1687,21688,6.91,1390,Médio,Distribuidor,C,Sudeste,0.74612707
694,20695,301.36,1303,Pequeno,Distribuidor,C,Sudeste,0.7457857
799,20800,44.77,1337,Médio,Produtor,C,Centro-Oeste,0.7454024
1671,21672,5.51,1451,Médio,Distribuidor,C,Norte,0.74504954
1606,21607,71.47,625,Pequeno,Produtor,C,Sudeste,0.7443067
1286,21287,29.99,1168,Médio,Cooperativa,B,Centro-Oeste,0.7442486
148,20149,27.15,161,Médio,Cooperativa,C,Centro-Oeste,0.7440877
726,20727,76.11,325,Pequeno,Produtor,A,Sudeste,0.7438544
1388,21389,17.19,115,Pequeno,Distribuidor,C,Sudeste,0.7438249
520,20521,157.17,138,Médio,Produtor,D,Centro-Oeste,0.74351025
36,20037,10.87,1295,Médio,Indústria,B,Sul,0.7431332
1702,21703,39.7,1218,Médio,Produtor,C,Nordeste,0.74249405
1662,21663,24.39,644,Médio,Produtor,C,Centro-Oeste,0.7423216
409,20410,39.23,470,Médio,Indústria,F,Nordeste,0.74184746
1113,21114,69.29,418,Pequeno,Distribuidor,B,Sudeste,0.74116796
1406,21407,24.99,933,Pequeno,Cooperativa,C,Sudeste,0.74106956
1134,21135,68.78,615,Pequeno,Produtor,C,Centro-Oeste,0.74016595
265,20266,40.46,365,Médio,Produtor,A,Sul,0.73968476
1355,21356,19.06,827,Médio,Distribuidor,D,Nordeste,0.73942065
243,20244,60.16,1379,Médio,Produtor,C,Sudeste,0.7393856
1324,21325,23.66,442,Grande,Produtor,D,Sudeste,0.738681
28,20029,71.06,539,Pequeno,Distribuidor,B,Norte,0.7383528
7,20008,43.14,658,Pequeno,Produtor,C,Sul,0.7381609
14,20015,289.94,1337,Médio,Produtor,C,Centro-Oeste,0.737943
1667,21668,8.47,231,Grande,Distribuidor,F,Centro-Oeste,0.7376669
201,20202,4.7,1465,Médio,Produtor,C,Sul,0.73752075
1973,21974,54.85,421,Pequeno,Cooperativa,A,Centro-Oeste,0.7374325
167,20168,63.23,1149,Médio,Cooperativa,C,Sudeste,0.73713994
451,20452,3.53,547,Grande,Produtor,C,Centro-Oeste,0.73685306
228,20229,48.91,241,Pequeno,Indústria,C,Centro-Oeste,0.7363606
886,20887,47.78,1280,Pequeno,Cooperativa,B,Sudeste,0.7361579
1851,21852,48.21,1273,Médio,Cooperativa,F,Sudeste,0.73465174
1559,21560,9.38,261,Pequeno,Produtor,C,Sudeste,0.7340126
476,20477,67.44,512,Pequeno,Produtor,C,Sudeste,0.73389274
263,20264,14.1,1399,Médio,Produtor,C,Norte,0.73373765
1866,21867,55.55,1480,Médio,Produtor,D,Centro-Oeste,0.7334378
1513,21514,15.43,401,Pequeno,Distribuidor,C,Sudeste,0.7319645
1016,21017,18.46,857,Grande,Indústria,C,Sudeste,0.731024
775,20776,170.69,1345,Grande,Distribuidor,C,Sudeste,0.7306217
1087,21088,62.63,619,Médio,Produtor,D,Sul,0.7297552
1962,21963,53.64,1448,Pequeno,Distribuidor,C,Sudeste,0.72879183
1887,21888,327.94,263,Pequeno,Produtor,B,Sul,0.7277802
508,20509,14.49,773,Grande,Produtor,B,Sudeste,0.7275771
421,20422,71.27,338,Médio,Cooperativa,C,Centro-Oeste,0.72728693
222,20223,36.93,273,Pequeno,Distribuidor,A,Sudeste,0.7259032
633,20634,45.85,451,Médio,Indústria,C,Centro-Oeste,0.72573966
650,20651,16.72,115,Médio,Indústria,C,Centro-Oeste,0.7253676
1886,21887,44.0,1017,Pequeno,Distribuidor,F,Centro-Oeste,0.7249215
406,20407,26.97,861,Pequeno,Produtor,A,Centro-Oeste,0.72472394
1766,21767,10.08,721,Médio,Cooperativa,B,Centro-Oeste,0.72454697
346,20347,267.14,307,Pequeno,Indústria,B,Nordeste,0.72437793
777,20778,40.25,1366,Médio,Produtor,C,Sudeste,0.72350484
1557,21558,65.18,1002,Médio,Distribuidor,C,Sul,0.7233648
641,20642,304.5,1213,Médio,Distribuidor,D,Norte,0.72275
453,20454,8.18,359,Médio,Produtor,C,Centro-Oeste,0.7213895
1055,21056,7.14,660,Médio,Distribuidor,C,Sudeste,0.72107583
1033,21034,1178.64,943,Pequeno,Produtor,C,Nordeste,0.72097754
867,20868,13.59,240,Pequeno,Produtor,C,Sul,0.7204525
295,20296,16.3,631,Pequeno,Cooperativa,C,Sudeste,0.7204376
1874,21875,5.78,367,Pequeno,Distribuidor,C,Sul,0.7201349
437,20438,36.45,616,Pequeno,Distribuidor,C,Sudeste,0.71979564
1957,21958,78.37,469,Pequeno,Produtor,C,Sudeste,0.71966267
1589,21590,17.23,853,Médio,Cooperativa,C,Sudeste,0.7195662
551,20552,9.59,577,Médio,Produtor,C,Sudeste,0.7194061
191,20192,22.9,1068,Médio,Produtor,B,Sul,0.7191544
401,20402,1.33,505,Pequeno,Produtor,C,Sudeste,0.7185337
284,20285,24.69,1489,Médio,Cooperativa,B,Sudeste,0.71828544
444,20445,19.06,1164,Pequeno,Produtor,C,Sul,0.7181578
414,20415,215.97,648,Pequeno,Distribuidor,C,Sudeste,0.71812046
1411,21412,106.86,118,Pequeno,Produtor,C,Centro-Oeste,0.71707493
881,20882,54.39,426,Grande,Distribuidor,B,Centro-Oeste,0.71662533
443,20444,44.69,374,Pequeno,Cooperativa,B,Nordeste,0.7164728
1164,21165,15.21,213,Médio,Produtor,F,Sudeste,0.71622753
1549,21550,267.96,1377,Pequeno,Cooperativa,B,Sudeste,0.71531296
1079,21080,6.03,996,Pequeno,Cooperativa,C,Sudeste,0.7148765
1899,21900,8.83,388,Pequeno,Produtor,C,Sudeste,0.7144854
596,20597,5.74,1066,Pequeno,Produtor,C,Centro-Oeste,0.71393687
939,20940,14.51,1030,Médio,Distribuidor,F,Sul,0.71353954
330,20331,70.09,1275,Pequeno,Produtor,C,Norte,0.71246886
1245,21246,8.68,819,Médio,Produtor,C,Centro-Oeste,0.7124576
1622,21623,478.77,900,Grande,Produtor,A,Nordeste,0.71232116
688,20689,139.32,1482,Pequeno,Distribuidor,C,Sudeste,0.7121104
1501,21502,96.22,577,Pequeno,Distribuidor,C,Centro-Oeste,0.71176
900,20901,36.87,907,Médio,Produtor,B,Sudeste,0.7116974
1979,21980,212.17,564,Grande,Produtor,B,Sudeste,0.71115303
1372,21373,5.57,1173,Pequeno,Distribuidor,D,Sudeste,0.7105796
1691,21692,90.02,416,Pequeno,Produtor,D,Sudeste,0.7101189
372,20373,26.85,186,Pequeno,Cooperativa,C,Centro-Oeste,0.70947
1185,21186,18.01,108,Médio,Produtor,C,Sul,0.70914894
114,20115,24.38,1192,Pequeno,Produtor,D,Sudeste,0.7083945
1159,21160,2.61,427,Pequeno,Distribuidor,C,Centro-Oeste,0.708168
119,20120,186.67,391,Pequeno,Indústria,C,Norte,0.7079228
1209,21210,54.85,113,Pequeno,Cooperativa,F,Sudeste,0.7075162
842,20843,24.51,812,Pequeno,Produtor,C,Centro-Oeste,0.7069036
1763,21764,139.63,571,Grande,Distribuidor,C,Sudeste,0.7068365
1533,21534,2.66,243,Pequeno,Produtor,B,Sudeste,0.7067496
1360,21361,425.92,679,Grande,Cooperativa,D,Sul,0.7066305
1427,21428,39.84,911,Médio,Distribuidor,F,Sudeste,0.70648587
1570,21571,14.5,1387,Pequeno,Cooperativa,B,Sudeste,0.7064267
1401,21402,8.38,528,Pequeno,Cooperativa,C,Sudeste,0.7063981
1338,21339,23.11,1491,Pequeno,Produtor,A,Nordeste,0.7059168
144,20145,29.92,473,Pequeno,Indústria,C,Sudeste,0.70538485
1897,21898,72.93,1484,Pequeno,Produtor,D,Sul,0.7052807
1458,21459,285.89,1207,Médio,Distribuidor,C,Centro-Oeste,0.7052031
108,20109,5.69,707,Pequeno,Produtor,D,Sul,0.7049559
252,20253,113.78,663,Pequeno,Distribuidor,C,Sudeste,0.7042923
1007,21008,47.81,1481,Pequeno,Produtor,B,Centro-Oeste,0.7040885
1511,21512,2.53,792,Pequeno,Produtor,C,Nordeste,0.70385385
1398,21399,5.33,1160,Pequeno,Produtor,C,Sudeste,0.7036382
1919,21920,39.3,921,Pequeno,Cooperativa,B,Centro-Oeste,0.70336485
904,20905,11.35,875,Grande,Indústria,C,Centro-Oeste,0.7033418
1251,21252,73.87,1164,Médio,Cooperativa,B,Sul,0.7032659
721,20722,2.15,661,Pequeno,Distribuidor,C,Centro-Oeste,0.7030326
383,20384,177.08,1099,Grande,Distribuidor,B,Sudeste,0.70283026
160,20161,26.98,555,Pequeno,Cooperativa,C,Centro-Oeste,0.702718
405,20406,144.08,1247,Pequeno,Distribuidor,C,Sudeste,0.7027011
72,20073,68.47,1191,Médio,Produtor,A,Sul,0.7021556
1342,21343,155.33,1113,Médio,Distribuidor,C,Centro-Oeste,0.701715
1054,21055,342.29,424,Pequeno,Produtor,B,Nordeste,0.70147145
923,20924,0.82,246,Pequeno,Produtor,C,Sudeste,0.7011954
968,20969,90.94,347,Pequeno,Cooperativa,D,Centro-Oeste,0.70099556
1652,21653,123.5,1276,Pequeno,Distribuidor,D,Nordeste,0.70095104
1998,21999,21.58,481,Médio,Produtor,C,Sul,0.7008231
1236,21237,0.63,1314,Pequeno,Distribuidor,C,Sul,0.7005388
704,20705,23.17,871,Médio,Cooperativa,B,Sul,0.70053387
681,20682,277.36,1267,Médio,Distribuidor,C,Sudeste,0.7001958
608,20609,2.63,932,Médio,Indústria,C,Sul,0.69983
1161,21162,29.58,1264,Médio,Distribuidor,D,Nordeste,0.69964796
736,20737,10.65,95,Pequeno,Distribuidor,F,Sudeste,0.69953865
1707,21708,8.61,726,Pequeno,Produtor,C,Sudeste,0.6992562
271,20272,5.08,676,Pequeno,Distribuidor,C,Nordeste,0.6986601
1576,21577,72.27,1231,Médio,Produtor,A,Nordeste,0.697976
941,20942,160.61,1482,Pequeno,Indústria,D,Sudeste,0.69773483
70,20071,8.94,541,Médio,Produtor,D,Sudeste,0.6975742
1022,21023,35.44,1217,Pequeno,Produtor,A,Sudeste,0.697353
972,20973,18.94,1441,Pequeno,Distribuidor,C,Norte,0.69649297
244,20245,10.26,1390,Pequeno,Produtor,B,Sudeste,0.6960704
1056,21057,69.25,655,Médio,Cooperativa,B,Centro-Oeste,0.69458336
193,20194,141.72,377,Grande,Distribuidor,C,Sudeste,0.69424033
1758,21759,18.12,585,Pequeno,Cooperativa,C,Sudeste,0.6940159
1479,21480,148.4,587,Pequeno,Produtor,D,Sudeste,0.6932325
336,20337,4.81,329,Médio,Produtor,D,Sul,0.6930969
1482,21483,10.06,590,Médio,Cooperativa,C,Norte,0.69287974
208,20209,64.06,227,Pequeno,Produtor,D,Centro-Oeste,0.6928505
671,20672,67.84,329,Médio,Produtor,F,Centro-Oeste,0.6928003
1319,21320,24.42,973,Pequeno,Produtor,C,Centro-Oeste,0.6927537
1670,21671,36.64,169,Pequeno,Indústria,F,Sudeste,0.6926221
1531,21532,12.95,1386,Médio,Produtor,C,Sul,0.6920277
290,20291,31.6,267,Pequeno,Produtor,D,Nordeste,0.69167864
1566,21567,962.61,124,Grande,Cooperativa,F,Sul,0.6915168
254,20255,6.08,1401,Pequeno,Produtor,D,Sudeste,0.69094896
1696,21697,30.75,628,Pequeno,Distribuidor,C,Sul,0.6905175
435,20436,2.61,275,Pequeno,Cooperativa,C,Sudeste,0.6904112
1445,21446,289.14,456,Médio,Produtor,B,Sul,0.6903366
366,20367,59.43,1364,Pequeno,Produtor,C,Nordeste,0.6903157
173,20174,20.84,705,Médio,Produtor,C,Sudeste,0.6901692
628,20629,2.41,388,Pequeno,Distribuidor,B,Sudeste,0.6898245
788,20789,35.45,1229,Pequeno,Distribuidor,C,Sudeste,0.68981284
1407,21408,17.25,753,Pequeno,Produtor,A,Sudeste,0.6894536
1012,21013,20.24,108,Pequeno,Produtor,C,Sul,0.68904835
1232,21233,24.57,1250,Grande,Produtor,C,Nordeste,0.68902487
1522,21523,14.35,931,Pequeno,Produtor,A,Norte,0.6886194
1895,21896,2.03,1452,Pequeno,Indústria,C,Norte,0.6879004
877,20878,19.53,408,Médio,Distribuidor,C,Sudeste,0.6877778
1148,21149,3.35,283,Médio,Produtor,C,Centro-Oeste,0.6876475
1261,21262,6.08,1060,Pequeno,Indústria,C,Centro-Oeste,0.6869566
1615,21616,23.16,1153,Pequeno,Distribuidor,F,Centro-Oeste,0.68663484
158,20159,26.38,545,Médio,Cooperativa,C,Norte,0.6866068
308,20309,2.12,772,Pequeno,Produtor,C,Nordeste,0.68653303
1180,21181,54.3,1206,Pequeno,Distribuidor,C,Sudeste,0.68645936
1485,21486,15.83,458,Grande,Produtor,A,Sudeste,0.68645656
1166,21167,156.41,464,Pequeno,Distribuidor,C,Sul,0.6860206
1719,21720,7.81,1336,Pequeno,Indústria,C,Centro-Oeste,0.6856357
1135,21136,115.21,1266,Pequeno,Cooperativa,C,Sudeste,0.6856312
1214,21215,13.45,1453,Médio,Cooperativa,C,Sudeste,0.68544155
1188,21189,44.81,1148,Pequeno,Cooperativa,B,Sudeste,0.68497413
999,21000,16.1,1427,Médio,Produtor,C,Sudeste,0.6847928
594,20595,8.12,617,Pequeno,Produtor,D,Sudeste,0.6847065
1322,21323,28.03,474,Médio,Produtor,C,Sudeste,0.68458533
908,20909,24.78,159,Grande,Cooperativa,C,Centro-Oeste,0.6843811
199,20200,1.0,596,Pequeno,Distribuidor,C,Sudeste,0.68394274
610,20611,57.02,678,Pequeno,Distribuidor,F,Sul,0.68331814
699,20700,8.01,1389,Pequeno,Produtor,B,Sudeste,0.68318945
104,20105,95.82,625,Pequeno,Cooperativa,C,Centro-Oeste,0.6829268
97,20098,13.57,1010,Médio,Produtor,B,Sudeste,0.68282336
1967,21968,5.48,1455,Pequeno,Produtor,C,Centro-Oeste,0.6815071
643,20644,79.3,1046,Pequeno,Cooperativa,B,Nordeste,0.68095267
