id_cliente,valor_divida_mil,tempo_inadimplencia_dias,porte_cliente,ramo_atuacao_cliente,score_risco_interno,regiao,status_final_pago
137,12.82,1372,Pequeno,Cooperativa,A,Sul,1
138,184.43,674,Médio,Distribuidor,C,Centro-Oeste,1
139,61.87,608,Pequeno,Produtor,C,Sul,1
140,84.06,1113,Médio,Distribuidor,B,Centro-Oeste,0
141,96.96,734,Pequeno,Cooperativa,A,Centro-Oeste,0
142,198.08,1753,Médio,Cooperativa,C,Sudeste,0
143,63.89,1460,Médio,Produtor,D,Centro-Oeste,0
144,6.48,1188,Médio,Produtor,B,Centro-Oeste,0
145,70.19,1397,Pequeno,Distribuidor,C,Sul,0
146,12.07,706,Médio,Produtor,C,Sul,1
147,64.99,845,Grande,Produtor,D,Centro-Oeste,1
148,123.63,1669,Pequeno,Indústria,C,Sul,0
149,5.34,924,Pequeno,Produtor,C,Sudeste,0
150,2.88,1150,Pequeno,Produtor,F,Sul,1
151,13.8,1299,Médio,Produtor,B,Sul,1
152,19.2,482,Médio,Distribuidor,D,Norte,1
153,49.85,166,Pequeno,Distribuidor,B,Sudeste,1
154,5.77,1034,Pequeno,Cooperativa,A,Sul,1
155,64.25,1618,Médio,Distribuidor,D,Sul,0
156,30.71,1389,Grande,Distribuidor,B,Centro-Oeste,0
157,26.74,71,Pequeno,Produtor,C,Sudeste,0
158,31.58,1746,Pequeno,Indústria,B,Centro-Oeste,0
159,37.71,1682,Pequeno,Distribuidor,B,Sul,1
160,56.41,1589,Médio,Produtor,D,Sul,1
161,109.88,1771,Pequeno,Cooperativa,B,Norte,0
162,20.87,61,Pequeno,Produtor,C,Nordeste,1
163,5.68,1364,Médio,Produtor,C,Centro-Oeste,1
164,150.5,1635,Pequeno,Cooperativa,C,Sul,0
165,17.3,40,Pequeno,Produtor,C,Norte,1
166,34.08,1356,Pequeno,Distribuidor,C,Centro-Oeste,1
167,69.98,1501,Médio,Produtor,C,Norte,0
168,39.23,616,Pequeno,Distribuidor,B,Sudeste,1
169,182.72,754,Pequeno,Produtor,D,Sudeste,0
170,3.72,592,Médio,Cooperativa,B,Sudeste,0
171,22.67,1153,Médio,Cooperativa,C,Sul,1
172,11.14,271,Médio,Indústria,D,Sul,0
173,2.25,478,Grande,Distribuidor,C,Sudeste,1
174,71.4,1638,Pequeno,Cooperativa,D,Sudeste,1
175,136.87,441,Médio,Produtor,C,Sudeste,0
176,5.2,1304,Pequeno,Cooperativa,C,Sul,1
177,30.4,811,Pequeno,Produtor,C,Sul,1
178,77.06,1239,Médio,Cooperativa,C,Centro-Oeste,1
179,34.06,314,Médio,Produtor,D,Norte,1
180,10.87,966,Médio,Produtor,A,Sudeste,0
181,59.26,608,Pequeno,Cooperativa,A,Sudeste,0
182,42.67,993,Pequeno,Cooperativa,C,Sul,1
183,52.31,830,Pequeno,Produtor,A,Centro-Oeste,1
184,20.44,1752,Médio,Distribuidor,C,Sudeste,1
185,26.02,1769,Médio,Distribuidor,C,Sudeste,1
186,8.6,821,Médio,Produtor,C,Norte,0
187,5.53,1182,Médio,Cooperativa,D,Sul,1
188,236.14,645,Médio,Produtor,B,Nordeste,1
189,1.47,302,Médio,Indústria,B,Sul,0
190,18.91,1579,Pequeno,Produtor,B,Sul,1
191,13.26,1072,Pequeno,Cooperativa,D,Sudeste,1
192,10.99,1054,Médio,Cooperativa,B,Norte,0
193,17.45,1760,Médio,Cooperativa,C,Centro-Oeste,1
194,85.27,362,Grande,Cooperativa,A,Sudeste,1
195,98.82,46,Pequeno,Indústria,F,Sudeste,1
196,59.63,70,Pequeno,Produtor,C,Sudeste,1
197,34.93,104,Pequeno,Produtor,D,Centro-Oeste,1
198,103.35,1556,Médio,Cooperativa,A,Norte,0
199,1121.64,232,Médio,Cooperativa,D,Sudeste,0
200,12.54,1276,Médio,Cooperativa,C,Sul,0
201,282.32,310,Pequeno,Cooperativa,D,Sul,0
202,27.31,72,Médio,Cooperativa,A,Norte,0
203,30.94,1093,Médio,Cooperativa,F,Sul,0
204,19.35,1726,Médio,Cooperativa,C,Sul,0
205,14.5,494,Pequeno,Produtor,D,Norte,0
206,72.58,1287,Pequeno,Distribuidor,C,Norte,0
207,18.19,1382,Pequeno,Produtor,D,Sul,0
208,7.53,1569,Médio,Produtor,D,Centro-Oeste,1
209,18.59,694,Médio,Cooperativa,C,Centro-Oeste,1
210,28.28,961,Médio,Cooperativa,B,Sudeste,0
211,176.56,494,Pequeno,Produtor,B,Centro-Oeste,0
212,1284.89,485,Pequeno,Cooperativa,F,Sudeste,1
213,21.77,1741,Grande,Produtor,B,Nordeste,0
214,3.92,657,Médio,Distribuidor,B,Sul,1
215,109.09,1097,Pequeno,Produtor,D,Centro-Oeste,0
216,284.71,1237,Pequeno,Produtor,F,Centro-Oeste,0
217,20.52,1493,Pequeno,Cooperativa,C,Nordeste,1
218,7.68,1389,Médio,Cooperativa,C,Sul,1
219,21.27,956,Médio,Produtor,D,Sul,1
220,424.06,1473,Médio,Cooperativa,A,Centro-Oeste,1
221,30.95,1786,Pequeno,Distribuidor,C,Centro-Oeste,0
222,228.73,495,Pequeno,Distribuidor,F,Sul,0
223,29.28,746,Pequeno,Distribuidor,C,Sudeste,0
224,107.28,273,Pequeno,Cooperativa,B,Centro-Oeste,0
225,49.67,1635,Médio,Distribuidor,C,Sudeste,1
226,22.26,568,Médio,Cooperativa,C,Norte,1
227,25.82,1386,Pequeno,Produtor,C,Sudeste,1
228,109.16,1768,Pequeno,Cooperativa,B,Sul,0
229,14.82,506,Pequeno,Cooperativa,C,Norte,0
230,15.95,1114,Pequeno,Produtor,D,Sudeste,0
231,5.22,37,Pequeno,Produtor,C,Sul,0
232,26.26,1377,Pequeno,Distribuidor,B,Sudeste,0
233,8.34,497,Pequeno,Produtor,B,Norte,1
234,13.72,306,Médio,Cooperativa,A,Norte,1
235,51.24,140,Pequeno,Produtor,D,Centro-Oeste,0
236,18.42,1268,Grande,Produtor,D,Sul,0
237,8.34,1136,Médio,Distribuidor,B,Sul,1
238,11.86,38,Pequeno,Distribuidor,B,Nordeste,1
239,73.02,200,Pequeno,Distribuidor,C,Sul,0
240,1254.64,1244,Pequeno,Produtor,A,Centro-Oeste,1
241,3.59,1176,Pequeno,Distribuidor,B,Centro-Oeste,0
242,10.5,1078,Médio,Cooperativa,C,Centro-Oeste,0
243,9.39,547,Pequeno,Cooperativa,C,Sul,1
244,20.33,1126,Médio,Produtor,C,Nordeste,0
245,1.61,1074,Médio,Cooperativa,C,Centro-Oeste,0
246,149.69,422,Pequeno,Indústria,C,Norte,0
247,9.64,331,Pequeno,Cooperativa,C,Centro-Oeste,0
248,68.7,237,Médio,Distribuidor,C,Sudeste,1
249,101.0,509,Pequeno,Produtor,C,Sudeste,0
250,40.38,1599,Pequeno,Distribuidor,C,Sudeste,0
251,17.78,449,Médio,Produtor,C,Sul,0
252,6.59,167,Médio,Cooperativa,C,Sul,0
253,4.4,371,Pequeno,Produtor,B,Nordeste,1
254,46.6,1750,Médio,Produtor,C,Norte,0
255,204.23,685,Pequeno,Produtor,A,Norte,1
256,151.59,40,Médio,Produtor,C,Centro-Oeste,0
257,12.13,1534,Médio,Indústria,F,Centro-Oeste,0
258,65.37,1666,Pequeno,Distribuidor,A,Centro-Oeste,0
259,194.93,985,Pequeno,Distribuidor,F,Sudeste,0
260,13.88,1488,Médio,Produtor,B,Norte,1
261,20.2,138,Médio,Produtor,D,Norte,1
262,105.44,269,Pequeno,Distribuidor,D,Sul,0
263,230.03,962,Médio,Produtor,C,Sul,1
264,533.63,1530,Pequeno,Distribuidor,B,Sudeste,0
265,8.64,1471,Médio,Distribuidor,C,Sul,0
266,3.58,1070,Pequeno,Cooperativa,B,Sudeste,1
267,18.44,925,Pequeno,Distribuidor,C,Sul,1
268,12.41,982,Grande,Produtor,B,Centro-Oeste,1
269,60.33,1068,Médio,Produtor,C,Nordeste,1
270,56.97,417,Médio,Cooperativa,A,Sudeste,1
271,139.31,1213,Pequeno,Cooperativa,B,Norte,0
272,24.63,930,Médio,Produtor,F,Sudeste,0
273,202.54,667,Médio,Cooperativa,B,Sudeste,0
274,295.0,1082,Pequeno,Distribuidor,A,Sul,1
275,108.88,1691,Grande,Produtor,A,Sul,1
276,90.29,325,Médio,Distribuidor,A,Sudeste,1
277,7.3,1384,Pequeno,Distribuidor,D,Sul,1
278,839.3,898,Grande,Cooperativa,C,Sul,1
279,19.78,1400,Médio,Produtor,C,Sul,0
280,12.89,1664,Pequeno,Distribuidor,C,Nordeste,0
281,117.91,335,Pequeno,Indústria,D,Nordeste,0
282,29.44,1453,Médio,Produtor,D,Sudeste,1
283,37.93,728,Médio,Distribuidor,C,Sul,1
284,197.3,1785,Pequeno,Distribuidor,A,Nordeste,1
285,28.47,979,Pequeno,Distribuidor,D,Centro-Oeste,1
286,28.62,895,Médio,Produtor,C,Sul,1
287,255.54,638,Médio,Produtor,B,Sul,1
288,20.43,167,Médio,Produtor,D,Sudeste,1
289,294.58,1309,Pequeno,Produtor,C,Norte,0
290,70.1,513,Médio,Produtor,B,Centro-Oeste,0
291,3.77,456,Pequeno,Cooperativa,D,Centro-Oeste,1
292,455.44,416,Pequeno,Cooperativa,D,Sul,0
293,9.93,217,Pequeno,Cooperativa,C,Norte,1
294,52.52,359,Médio,Cooperativa,A,Sul,1
295,17.43,347,Pequeno,Cooperativa,C,Norte,1
296,42.44,1467,Médio,Cooperativa,D,Sul,0
297,76.54,1582,Médio,Produtor,C,Sudeste,1
298,100.84,858,Médio,Cooperativa,D,Sudeste,0
299,37.29,1633,Médio,Cooperativa,D,Centro-Oeste,1
300,94.19,382,Pequeno,Distribuidor,B,Sudeste,0
301,3.96,649,Pequeno,Cooperativa,A,Sudeste,0
302,0.71,1670,Médio,Distribuidor,C,Sul,1
303,7.05,802,Pequeno,Produtor,B,Sudeste,1
304,181.61,571,Grande,Cooperativa,C,Sul,1
305,71.58,813,Pequeno,Cooperativa,C,Sudeste,1
306,147.2,518,Pequeno,Distribuidor,C,Sudeste,0
307,45.87,580,Pequeno,Produtor,B,Sudeste,0
308,29.42,1240,Pequeno,Distribuidor,B,Norte,1
309,68.44,1143,Médio,Produtor,B,Sul,1
310,11.32,341,Médio,Cooperativa,B,Sul,0
311,1.76,776,Grande,Cooperativa,D,Sul,1
312,80.68,794,Médio,Cooperativa,B,Sul,0
313,5.42,498,Médio,Distribuidor,A,Norte,1
314,116.89,1664,Grande,Cooperativa,C,Sul,1
315,0.57,1393,Médio,Produtor,B,Sudeste,0
316,11.65,953,Médio,Indústria,B,Sul,0
317,2.41,735,Pequeno,Cooperativa,B,Centro-Oeste,0
318,68.05,981,Médio,Produtor,C,Sul,0
319,56.48,683,Pequeno,Indústria,D,Sudeste,0
320,47.31,303,Grande,Produtor,C,Sudeste,1
321,29.14,283,Pequeno,Produtor,C,Norte,0
322,521.36,282,Pequeno,Produtor,C,Sudeste,1
323,17.34,1163,Pequeno,Produtor,C,Sudeste,0
324,250.52,1322,Pequeno,Cooperativa,D,Sudeste,0
325,53.12,1689,Médio,Indústria,A,Centro-Oeste,0
326,13.57,1010,Pequeno,Produtor,C,Centro-Oeste,0
327,47.61,1798,Grande,Produtor,B,Sul,0
328,403.49,617,Médio,Distribuidor,C,Sudeste,1
329,238.31,1694,Médio,Produtor,A,Centro-Oeste,1
330,10.26,1172,Pequeno,Cooperativa,C,Sul,0
331,18.26,1572,Pequeno,Produtor,D,Sudeste,1
332,27.98,644,Médio,Cooperativa,C,Sudeste,1
333,22.52,1226,Médio,Produtor,C,Sudeste,0
334,258.84,1419,Pequeno,Cooperativa,B,Sudeste,1
335,8.95,1763,Médio,Cooperativa,D,Sul,1
336,9.8,1277,Pequeno,Produtor,C,Sul,1
337,51.47,538,Pequeno,Cooperativa,C,Norte,0
338,79.88,1554,Grande,Produtor,C,Centro-Oeste,0
339,3.9,493,Médio,Cooperativa,B,Norte,1
340,95.85,348,Médio,Indústria,D,Sudeste,1
341,40.9,974,Pequeno,Distribuidor,C,Sul,0
342,8.11,842,Pequeno,Cooperativa,A,Sul,0
343,18.25,1364,Pequeno,Indústria,B,Nordeste,0
344,10.98,1683,Pequeno,Produtor,B,Sudeste,1
345,31.65,1219,Médio,Distribuidor,C,Sul,1
346,162.8,180,Médio,Cooperativa,C,Sudeste,0
347,104.2,859,Médio,Distribuidor,C,Centro-Oeste,1
348,13.86,730,Médio,Produtor,C,Centro-Oeste,1
349,1057.9,1311,Pequeno,Produtor,C,Sudeste,0
350,8.51,1354,Pequeno,Distribuidor,C,Sudeste,1
351,1.22,352,Pequeno,Indústria,C,Norte,0
352,11.79,1510,Médio,Cooperativa,D,Centro-Oeste,1
353,55.25,1288,Médio,Produtor,D,Nordeste,1
354,22.4,852,Médio,Produtor,D,Sul,0
355,173.99,1711,Grande,Cooperativa,B,Sudeste,0
356,67.11,269,Médio,Produtor,B,Sudeste,0
357,47.28,1436,Médio,Distribuidor,D,Sul,1
358,34.15,267,Médio,Produtor,D,Sul,0
359,15.11,1034,Pequeno,Produtor,C,Centro-Oeste,0
360,1300.65,306,Pequeno,Cooperativa,B,Centro-Oeste,0
361,16.01,1689,Pequeno,Indústria,B,Sul,1
362,9.51,1124,Médio,Cooperativa,C,Sudeste,1
363,110.55,1232,Pequeno,Distribuidor,C,Centro-Oeste,1
364,133.47,108,Médio,Distribuidor,F,Norte,0
365,178.75,1352,Pequeno,Cooperativa,F,Sudeste,0
366,145.39,1685,Médio,Distribuidor,A,Sudeste,0
367,103.32,830,Grande,Produtor,D,Sul,0
368,564.3,1533,Pequeno,Cooperativa,C,Sul,1
369,112.77,1781,Médio,Produtor,C,Norte,1
370,97.48,1261,Grande,Produtor,C,Sudeste,0
371,9.49,814,Médio,Produtor,F,Sul,1
372,73.15,214,Médio,Produtor,F,Centro-Oeste,0
373,12.23,339,Pequeno,Produtor,D,Centro-Oeste,1
374,327.89,1249,Médio,Indústria,A,Sul,0
375,19.21,1391,Médio,Cooperativa,B,Centro-Oeste,1
376,107.21,1017,Pequeno,Produtor,D,Sul,1
377,24.38,705,Pequeno,Indústria,D,Sul,0
378,187.35,266,Pequeno,Produtor,C,Centro-Oeste,1
379,23.0,1277,Grande,Produtor,C,Centro-Oeste,0
380,154.03,261,Grande,Produtor,F,Sudeste,0
381,62.32,1226,Pequeno,Cooperativa,C,Sudeste,0
382,164.97,122,Pequeno,Distribuidor,D,Sudeste,0
383,46.01,1071,Grande,Cooperativa,D,Norte,1
384,188.7,52,Pequeno,Cooperativa,A,Sudeste,0
385,3.72,218,Grande,Indústria,B,Nordeste,1
386,4.7,1073,Médio,Cooperativa,C,Norte,0
387,65.38,1273,Médio,Produtor,B,Sul,0
388,52.55,349,Médio,Indústria,C,Sudeste,0
389,113.87,1635,Médio,Produtor,B,Sudeste,1
390,38.71,623,Pequeno,Cooperativa,C,Centro-Oeste,1
391,10.28,462,Pequeno,Cooperativa,F,Sudeste,1
392,81.33,111,Pequeno,Distribuidor,C,Sudeste,1
393,7.52,1612,Pequeno,Produtor,B,Sudeste,1
394,9.58,1115,Pequeno,Indústria,C,Sudeste,1
395,448.7,701,Pequeno,Distribuidor,C,Centro-Oeste,1
396,120.89,1643,Pequeno,Produtor,C,Sul,1
397,34.37,1333,Pequeno,Indústria,C,Centro-Oeste,1
398,70.46,1380,Grande,Indústria,C,Centro-Oeste,1
399,8.24,1518,Pequeno,Cooperativa,B,Centro-Oeste,1
400,38.79,955,Pequeno,Cooperativa,C,Sudeste,0
401,3.88,798,Médio,Produtor,D,Sul,1
402,3.5,895,Pequeno,Distribuidor,B,Norte,1
403,46.1,1041,Médio,Cooperativa,D,Sul,1
404,1.61,1018,Médio,Cooperativa,D,Sudeste,0
405,33.29,481,Médio,Produtor,B,Norte,0
406,235.48,384,Médio,Cooperativa,C,Centro-Oeste,0
407,32.49,1625,Pequeno,Produtor,C,Norte,1
408,10.38,1270,Pequeno,Distribuidor,C,Sudeste,0
409,25.88,1372,Pequeno,Cooperativa,C,Centro-Oeste,0
410,118.44,1710,Médio,Produtor,D,Centro-Oeste,1
411,6.79,1751,Pequeno,Produtor,D,Sul,0
412,13.62,408,Pequeno,Produtor,D,Sudeste,0
413,26.73,361,Pequeno,Distribuidor,C,Sul,1
414,154.22,1518,Médio,Cooperativa,A,Sul,1
415,6.13,1308,Pequeno,Cooperativa,B,Sudeste,1
416,32.33,1341,Pequeno,Cooperativa,C,Sul,0
417,19.76,1150,Pequeno,Cooperativa,C,Centro-Oeste,0
418,14.89,317,Médio,Produtor,A,Sul,0
419,89.38,49,Médio,Indústria,C,Sul,1
420,27.42,1462,Pequeno,Produtor,C,Centro-Oeste,1
421,59.43,1149,Pequeno,Produtor,D,Centro-Oeste,0
422,55.43,834,Pequeno,Distribuidor,B,Centro-Oeste,0
423,31.28,667,Pequeno,Cooperativa,C,Centro-Oeste,1
424,324.76,415,Médio,Produtor,D,Centro-Oeste,0
425,16.05,136,Grande,Cooperativa,A,Sudeste,1
426,20.63,542,Médio,Produtor,C,Sul,0
427,6.45,1368,Pequeno,Cooperativa,B,Sudeste,1
428,13.99,1340,Pequeno,Indústria,C,Centro-Oeste,1
429,129.15,986,Pequeno,Cooperativa,A,Norte,1
430,6.02,328,Pequeno,Cooperativa,C,Norte,1
431,32.88,178,Pequeno,Cooperativa,A,Sul,1
432,37.06,1669,Grande,Cooperativa,C,Sudeste,0
433,5.26,1563,Médio,Cooperativa,F,Sudeste,0
434,157.69,1151,Pequeno,Distribuidor,B,Centro-Oeste,1
435,833.97,1745,Pequeno,Distribuidor,F,Centro-Oeste,0
436,4.84,1742,Médio,Distribuidor,D,Centro-Oeste,0
437,140.56,456,Pequeno,Produtor,C,Sudeste,0
438,44.62,1591,Pequeno,Distribuidor,C,Norte,0
439,8.34,262,Grande,Produtor,D,Centro-Oeste,1
440,404.85,1397,Pequeno,Produtor,C,Sudeste,0
441,17.09,794,Médio,Distribuidor,C,Norte,1
442,24.17,1532,Pequeno,Indústria,D,Nordeste,0
443,45.95,842,Pequeno,Distribuidor,B,Nordeste,0
444,36.48,1153,Pequeno,Produtor,C,Nordeste,1
445,49.72,926,Médio,Cooperativa,F,Sudeste,1
446,55.13,1746,Médio,Produtor,C,Nordeste,0
447,40.18,1201,Pequeno,Indústria,C,Norte,1
448,27.55,873,Pequeno,Produtor,B,Sudeste,1
449,257.78,1454,Grande,Produtor,C,Sudeste,0
450,6.61,316,Médio,Indústria,B,Norte,0
451,64.66,1758,Pequeno,Produtor,D,Centro-Oeste,0
452,1232.71,1148,Pequeno,Distribuidor,C,Sul,0
453,24.41,1077,Médio,Produtor,C,Norte,0
454,86.67,544,Médio,Distribuidor,C,Sudeste,0
455,83.21,253,Pequeno,Produtor,C,Nordeste,1
456,46.3,125,Pequeno,Produtor,B,Sudeste,0
457,104.1,805,Médio,Distribuidor,A,Sudeste,1
458,10.63,1219,Pequeno,Cooperativa,D,Sudeste,0
459,13.36,533,Pequeno,Produtor,B,Sudeste,1
460,174.26,683,Pequeno,Produtor,B,Centro-Oeste,0
461,170.62,417,Pequeno,Produtor,C,Sudeste,0
462,2.75,1454,Médio,Produtor,C,Norte,0
463,21.85,593,Médio,Indústria,B,Sudeste,1
464,63.26,1720,Pequeno,Indústria,D,Centro-Oeste,1
465,9.56,524,Médio,Distribuidor,B,Sudeste,0
466,43.06,1462,Médio,Cooperativa,C,Sul,1
467,44.8,945,Pequeno,Distribuidor,C,Sul,1
468,52.76,1155,Pequeno,Cooperativa,F,Sudeste,0
469,41.88,1136,Médio,Distribuidor,C,Sul,1
470,19.97,863,Pequeno,Produtor,A,Norte,0
